chrom,donor,acceptor,intron_length,read_count
chr1,155831,164262,8431,15
chr1,880180,880421,241,8
chr1,880526,880897,371,9
chr1,987025,987107,82,6
chr1,989357,989827,470,6
chr1,1248972,1249111,139,5
chr1,1322962,1323156,194,8
chr1,1323249,1323333,84,13
chr1,1323445,1325609,2164,9
chr1,1325751,1325838,87,6
chr1,1325943,1326145,202,5
chr1,1328183,1328775,592,6
chr1,1328840,1330773,1933,5
chr1,1479367,1480242,875,5
chr1,1643839,1647784,3945,8
chr1,1650894,1653034,2140,5
chr1,1688047,1688619,572,5
chr1,6246876,6252989,6113,10
chr1,6253114,6257711,4597,10
chr1,6257816,6259621,1805,22
chr1,8021853,8022822,969,6
chr1,8022935,8025383,2448,8
chr1,8025485,8029404,3919,6
chr1,8031023,8037711,6688,9
chr1,8923004,8923293,289,10
chr1,8923402,8923949,547,10
chr1,8924151,8925343,1192,8
chr1,8925541,8926337,796,17
chr1,8926560,8927175,615,6
chr1,8927309,8928046,737,19
chr1,8928116,8930510,2394,61
chr1,8930569,8931949,1380,15
chr1,8934976,8938638,3662,9
chr1,9995685,9996576,891,8
chr1,10093752,10132085,38333,6
chr1,10161253,10163005,1752,5
chr1,10209340,10211383,2043,16
chr1,10211619,10218413,6794,5
chr1,10464336,10468127,3791,5
chr1,10468197,10471474,3277,6
chr1,10477566,10478882,1316,5
chr1,11077064,11078789,1725,9
chr1,11084392,11085166,774,5
chr1,11128141,11128701,560,9
chr1,11314030,11316048,2018,5
chr1,12061611,12061825,214,6
chr1,12061893,12062038,145,5
chr1,12290177,12294247,4070,8
chr1,12304493,12304593,100,12
chr1,12333192,12335881,2689,8
chr1,12405566,12406661,1095,8
chr1,12406709,12408879,2170,6
chr1,12433913,12438481,4568,5
chr1,12632881,12638745,5864,5
chr1,12638984,12639320,336,6
chr1,16200890,16202696,1806,5
chr1,16203173,16235815,32642,8
chr1,16237796,16242622,4826,5
chr1,16245546,16245898,352,6
chr1,16248844,16254585,5741,7
chr1,16958108,16958769,661,7
chr1,17345453,17349102,3649,7
chr1,17735690,17736469,779,5
chr1,17736547,17738617,2070,7
chr1,17738690,17739568,878,5
chr1,17749332,17752036,2704,7
chr1,17765018,17766040,1022,10
chr1,19421519,19422038,519,5
chr1,19423144,19423686,542,9
chr1,19426171,19426869,698,5
chr1,19446842,19447682,840,13
chr1,19464675,19465576,901,7
chr1,19468271,19470473,2202,6
chr1,19475120,19477070,1950,5
chr1,19478353,19478806,453,5
chr1,19484491,19486604,2113,8
chr1,19504237,19505544,1307,5
chr1,19520051,19523634,3583,7
chr1,19524543,19525034,491,15
chr1,19525174,19525292,118,7
chr1,19526248,19528211,1963,9
chr1,19923603,19948593,24990,13
chr1,19948641,19949967,1326,7
chr1,21071584,21072035,451,49
chr1,21072149,21074036,1887,22
chr1,21074148,21076215,2067,8
chr1,21083749,21091869,8120,15
chr1,21092024,21094076,2052,8
chr1,21094157,21097422,3265,17
chr1,21097566,21099943,2377,7
chr1,21100103,21103089,2986,15
chr1,21103243,21106304,3061,9
chr1,21106404,21106837,433,6
chr1,21231464,21267983,36519,7
chr1,22021714,22027990,6276,11
chr1,22028095,22030004,1909,6
chr1,22032330,22032618,288,6
chr1,22032680,22032959,279,8
chr1,22033082,22033236,154,10
chr1,22033361,22041881,8520,28
chr1,22041950,22047528,5578,14
chr1,22047656,22048142,486,5
chr1,22047659,22048142,483,6
chr1,22048257,22050390,2133,10
chr1,22050588,22055062,4474,5
chr1,22056325,22062938,6613,29
chr1,22074764,22077999,3235,10
chr1,22078108,22079019,911,10
chr1,22083195,22084155,960,5
chr1,22175287,22175385,98,5
chr1,22211650,22211812,162,5
chr1,22379235,22404921,25686,6
chr1,22413041,22413161,120,10
chr1,23346440,23356961,10521,12
chr1,23357127,23376879,19752,5
chr1,23357127,23370919,13792,5
chr1,23381654,23382424,770,9
chr1,23385660,23395031,9371,6
chr1,23395174,23395553,379,9
chr1,23395644,23397717,2073,9
chr1,23397852,23398616,764,10
chr1,23398690,23399784,1094,12
chr1,23408859,23409671,812,5
chr1,23637559,23637693,134,23
chr1,23637815,23640045,2230,20
chr1,23640195,23644975,4780,13
chr1,23645181,23648020,2839,6
chr1,23648156,23650048,1892,5
chr1,23650225,23660010,9785,9
chr1,23650225,23664246,14021,5
chr1,23660124,23664246,4122,14
chr1,23664354,23664982,628,6
chr1,23665101,23670703,5602,7
chr1,24018319,24019098,779,7
chr1,24019249,24020296,1047,43
chr1,24020403,24021149,746,245
chr1,24021281,24022287,1006,40
chr1,24022398,24022833,435,72
chr1,24106431,24112164,5733,5
chr1,24287624,24287929,305,11
chr1,24298116,24298339,223,5
chr1,24298502,24301463,2961,6
chr1,24969838,24972474,2636,7
chr1,24972564,24973157,593,9
chr1,24975520,24976461,941,13
chr1,24976577,24977899,1322,20
chr1,24978103,24978924,821,5
chr1,24979523,24981345,1822,18
chr1,24981620,24987209,5589,6
chr1,24987290,24987800,510,10
chr1,24996078,24996610,532,18
chr1,24996806,24997876,1070,38
chr1,24998086,24998672,586,44
chr1,25072116,25124232,52116,5
chr1,25554023,25554608,585,8
chr1,25554726,25555488,762,13
chr1,25664947,25666964,2017,6
chr1,25669564,25678116,8552,8
chr1,25678184,25679372,1188,12
chr1,25679465,25683283,3818,9
chr1,25683344,25687150,3806,13
chr1,25783322,25784881,1559,5
chr1,25812286,25815663,3377,5
chr1,25818075,25824754,6679,5
chr1,26227578,26227981,403,75
chr1,26228173,26230131,1958,30
chr1,26586293,26594973,8680,7
chr1,26595126,26595950,824,8
chr1,26596105,26597504,1399,5
chr1,26598562,26601454,2892,5
chr1,26799118,26799973,855,37
chr1,26800018,26800193,175,16
chr1,26800223,26800575,352,22
chr1,26800626,26801062,436,65
chr1,26801158,26801603,445,113
chr1,27250657,27267947,17290,6
chr1,27268309,27269150,841,12
chr1,27739221,27741326,2105,6
chr1,27741457,27742478,1021,22
chr1,27744923,27745454,531,6
chr1,28081841,28086036,4195,8
chr1,28218758,28220522,1764,5
chr1,28220908,28223515,2607,5
chr1,28527881,28530257,2376,13
chr1,28530333,28531768,1435,26
chr1,28531860,28534852,2992,11
chr1,28534924,28536482,1558,19
chr1,28537148,28541450,4302,5
chr1,28562781,28562871,90,7
chr1,28562963,28564347,1384,35
chr1,28832596,28834639,2043,197
chr1,28834672,28835341,669,32
chr1,28905192,28906044,852,7
chr1,28931972,28939758,7786,6
chr1,28939873,28944464,4591,10
chr1,28944542,28948425,3883,5
chr1,29070498,29095440,24942,8
chr1,29213722,29313959,100237,8
chr1,29314417,29319841,5424,10
chr1,29320054,29323726,3672,5
chr1,29359757,29362337,2580,18
chr1,29379824,29391493,11669,14
chr1,29386996,29391493,4497,5
chr1,29391670,29424318,32648,7
chr1,29435949,29438879,2930,6
chr1,29438960,29442210,3250,11
chr1,29442315,29443330,1015,18
chr1,29475738,29476614,876,9
chr1,29476704,29481207,4503,10
chr1,29481422,29485885,4463,7
chr1,29485998,29486886,888,7
chr1,31468067,31478699,10632,6
chr1,31479949,31501642,21693,6
chr1,31532424,31538462,6038,5
chr1,31821821,31836878,15057,5
chr1,32374561,32375638,1077,24
chr1,32375713,32377296,1583,22
chr1,32496023,32497124,1101,7
chr1,32497241,32498788,1547,12
chr1,32503637,32504152,515,5
chr1,32504220,32505115,895,5
chr1,32505174,32508127,2953,6
chr1,32647178,32650125,2947,7
chr1,32658031,32658257,226,6
chr1,32658332,32658808,476,5
chr1,32659761,32660502,741,6
chr1,32797843,32798301,458,20
chr1,32798350,32798617,267,16
chr1,32843649,32843815,166,6
chr1,32859741,32860004,263,5
chr1,33087549,33093108,5559,10
chr1,33116923,33117514,591,7
chr1,33117662,33123027,5365,8
chr1,33123173,33133825,10652,5
chr1,33134455,33134572,117,8
chr1,33138502,33145240,6738,10
chr1,33245124,33245685,561,5
chr1,33245879,33246648,769,6
chr1,33246746,33248004,1258,7
chr1,33276658,33282788,6130,6
chr1,33476434,33478807,2373,5
chr1,35642075,35642919,844,10
chr1,35650194,35652601,2407,13
chr1,35652723,35652803,80,20
chr1,35652852,35653573,721,16
chr1,35653691,35654603,912,14
chr1,35654983,35656098,1115,9
chr1,35657130,35657822,692,6
chr1,35863146,35864013,867,5
chr1,36227671,36228004,333,5
chr1,36228922,36229866,944,8
chr1,36752871,36754660,1789,12
chr1,36758310,36759451,1141,9
chr1,36762371,36766486,4115,17
chr1,36767297,36769396,2099,12
chr1,36923582,36926292,2710,7
chr1,37967597,37974878,7281,5
chr1,38032608,38033273,665,20
chr1,38033365,38033875,510,23
chr1,38033958,38034451,493,8
chr1,38049534,38052911,3377,7
chr1,38059447,38061359,1912,5
chr1,38161622,38164576,2954,5
chr1,38164649,38166107,1458,6
chr1,38166193,38167425,1232,9
chr1,38167490,38168923,1433,8
chr1,38169019,38171112,2093,6
chr1,38435136,38435242,106,8
chr1,38445205,38446257,1052,11
chr1,38446396,38447400,1004,5
chr1,38449932,38450378,446,5
chr1,38453508,38455219,1711,5
chr1,38455267,38455541,274,8
chr1,38484249,38484730,481,17
chr1,38488481,38489216,735,7
chr1,39330386,39332551,2165,7
chr1,39457272,39463842,6570,5
chr1,39494612,39500063,5451,15
chr1,39759291,39760717,1426,6
chr1,39846045,39847624,1579,5
chr1,39851601,39852858,1257,6
chr1,39889866,39893126,3260,6
chr1,39894998,39895498,500,6
chr1,39907992,39908083,91,5
chr1,39913570,39913704,134,5
chr1,39920769,39924041,3272,7
chr1,40026794,40027356,562,14
chr1,40027875,40027994,119,5
chr1,40029413,40029507,94,5
chr1,40031050,40033422,2372,9
chr1,40033518,40034473,955,22
chr1,40034611,40035266,655,17
chr1,40035361,40035534,173,5
chr1,40038258,40041430,3172,7
chr1,40312969,40313219,250,6
chr1,40525842,40527406,1564,5
chr1,40530042,40530145,103,6
chr1,40697330,40701463,4133,5
chr1,41512270,41514361,2091,5
chr1,43132258,43133021,763,5
chr1,43148402,43149073,671,34
chr1,43149137,43159160,10023,14
chr1,43159194,43161869,2675,32
chr1,43161959,43162312,353,62
chr1,43162615,43162850,235,56
chr1,43162933,43166451,3518,80
chr1,43166717,43167651,934,52
chr1,43630164,43630313,149,7
chr1,43632906,43634609,1703,5
chr1,43825067,43825160,93,6
chr1,44133690,44134770,1080,7
chr1,44785416,44804716,19300,6
chr1,45218926,45219404,478,8
chr1,45219505,45220421,916,15
chr1,45220517,45221600,1083,5
chr1,45223643,45223720,77,6
chr1,45227655,45228017,362,5
chr1,45241272,45241705,433,82
chr1,45241812,45242346,534,82
chr1,45242446,45243285,839,83
chr1,45243461,45243671,210,334
chr1,45243801,45244247,446,248
chr1,45392411,45407177,14766,5
chr1,45480248,45480407,159,7
chr1,45480508,45480611,103,7
chr1,45480678,45481008,330,7
chr1,45981479,45984609,3130,7
chr1,45984726,45987500,2774,5
chr1,46056942,46067926,10984,5
chr1,46068037,46070607,2570,10
chr1,46070688,46072153,1465,13
chr1,46072263,46072992,729,15
chr1,46072263,46078840,6577,5
chr1,46074009,46078840,4831,10
chr1,46078920,46079767,847,7
chr1,46079853,46079964,111,11
chr1,46080038,46080684,646,12
chr1,46080873,46080976,103,17
chr1,46081143,46082008,865,17
chr1,46082065,46082297,232,5
chr1,46082375,46083134,759,16
chr1,46083263,46083732,469,25
chr1,46094080,46095247,1167,8
chr1,46099319,46099767,448,5
chr1,46108171,46120214,12043,5
chr1,46498390,46499473,1083,5
chr1,46769492,46774772,5280,27
chr1,46774799,46775568,769,5
chr1,46774799,46775826,1027,34
chr1,46775988,46782223,6235,12
chr1,47717594,47725960,8366,6
chr1,47726211,47728574,2363,6
chr1,47799788,47834140,34352,6
chr1,47834287,47838626,4339,17
chr1,47838779,47840580,1801,18
chr1,47840657,47840868,211,30
chr1,47840965,47842375,1410,6
chr1,50956337,50957392,1055,8
chr1,51032903,51048289,15386,5
chr1,51121200,51171457,50257,8
chr1,51829700,51831624,1924,5
chr1,51874004,51875206,1202,9
chr1,51875368,51887457,12089,11
chr1,51887530,51906018,18488,6
chr1,52212429,52214040,1611,8
chr1,52214070,52215816,1746,13
chr1,52227643,52231493,3850,6
chr1,52249697,52249935,238,8
chr1,52252289,52253024,735,5
chr1,52253160,52253386,226,15
chr1,52255105,52255239,134,7
chr1,52255329,52256204,875,9
chr1,52256321,52256571,250,12
chr1,52256662,52257249,587,10
chr1,52257333,52257717,384,6
chr1,52260282,52260494,212,6
chr1,52260526,52263920,3394,5
chr1,52269636,52271181,1545,8
chr1,52275073,52275952,879,6
chr1,52276076,52277665,1589,5
chr1,52277770,52279706,1936,21
chr1,52279761,52280222,461,16
chr1,52280281,52280364,83,5
chr1,52289458,52290958,1500,6
chr1,52299842,52301802,1960,8
chr1,52301884,52305897,4013,5
chr1,52525573,52530496,4923,12
chr1,52854993,52859114,4121,5
chr1,52867900,52869917,2017,5
chr1,52876872,52878185,1313,5
chr1,52878296,52879550,1254,5
chr1,52937774,52940503,2729,5
chr1,52943554,52947094,3540,6
chr1,52954707,52956403,1696,5
chr1,54273464,54275367,1903,5
chr1,54405770,54411227,5457,5
chr1,54670874,54670967,93,5
chr1,55538534,55539500,966,5
chr1,55551711,55555299,3588,5
chr1,55611782,55612601,819,5
chr1,55619590,55619791,201,5
chr1,59148217,59150824,2607,6
chr1,59160879,59165656,4777,5
chr1,62913182,62914135,953,5
chr1,63920639,63944434,23795,5
chr1,66075979,66081690,5711,7
chr1,67437419,67438579,1160,5
chr1,67438674,67442277,3603,5
chr1,67685413,67702395,16982,5
chr1,67878946,67880848,1902,8
chr1,67881022,67885691,4669,9
chr1,67885869,67889882,4013,29
chr1,67889960,67890570,610,13
chr1,67890642,67890765,123,16
chr1,67890660,67890765,105,5
chr1,67890906,67891817,911,30
chr1,67891968,67895670,3702,16
chr1,68942752,68943469,717,5
chr1,68954187,68954598,411,5
chr1,70616888,70618115,1227,5
chr1,70703235,70705121,1886,12
chr1,70710498,70712500,2002,16
chr1,70712590,70715634,3044,12
chr1,70715730,70716047,317,12
chr1,70716186,70716290,104,18
chr1,70716186,70716293,107,9
chr1,71536679,71537803,1124,19
chr1,71537938,71538154,216,17
chr1,71538231,71542477,4246,16
chr1,76199313,76200475,1162,6
chr1,76200556,76205664,5108,9
chr1,76257022,76257145,123,5
chr1,76259918,76260194,276,12
chr1,78044554,78045211,657,6
chr1,78163616,78167053,3437,6
chr1,78201843,78204949,3106,5
chr1,78414459,78414839,380,7
chr1,78414985,78420939,5954,5
chr1,78425948,78426028,80,5
chr1,78428615,78429258,643,10
chr1,78429847,78429938,91,7
chr1,78430041,78430330,289,20
chr1,78432435,78432567,132,5
chr1,78433887,78435608,1721,7
chr1,84964231,84967508,3277,7
chr1,85117680,85121514,3834,19
chr1,85121688,85122030,342,8
chr1,85122167,85124000,1833,8
chr1,85124151,85127880,3729,9
chr1,85128058,85128137,79,8
chr1,85128213,85130099,1886,5
chr1,85130235,85131804,1569,10
chr1,85131915,85135363,3448,6
chr1,89250507,89251786,1279,5
chr1,89273458,89279239,5781,6
chr1,89290069,89294163,4094,6
chr1,90034052,90045149,11097,6
chr1,90475845,90478684,2839,5
chr1,91382547,91383608,1061,5
chr1,91403647,91403828,181,5
chr1,92712701,92713434,733,6
chr1,93297674,93298945,1271,41
chr1,93299015,93299101,86,66
chr1,93299217,93300335,1118,14
chr1,93300470,93301746,1276,32
chr1,93301949,93303012,1063,29
chr1,93303190,93306107,2917,34
chr1,93306196,93307322,1126,239
chr1,93576183,93580244,4061,5
chr1,93595005,93599259,4254,13
chr1,93620445,93621856,1411,8
chr1,93692006,93697982,5976,5
chr1,93819628,93826049,6421,6
chr1,94335500,94336238,738,5
chr1,94337792,94338674,882,5
chr1,94341339,94341823,484,5
chr1,95609612,95614257,4645,8
chr1,95614347,95615763,1416,6
chr1,100527505,100533532,6027,5
chr1,100584693,100585949,1256,6
chr1,100586015,100586933,918,6
chr1,109143308,109148844,5536,5
chr1,109289408,109294878,5470,7
chr1,109342927,109350022,7095,5
chr1,109608854,109617608,8754,5
chr1,109617687,109618542,855,14
chr1,109766670,109770973,4303,5
chr1,109779170,109779865,695,7
chr1,109954557,109954698,141,8
chr1,109954806,109955689,883,6
chr1,110091460,110116358,24898,5
chr1,110134877,110134966,89,5
chr1,111491021,111492472,1451,11
chr1,111492745,111493909,1164,5
chr1,111682929,111690263,7334,5
chr1,111999377,112002078,2701,5
chr1,112002258,112003538,1280,7
chr1,112162556,112233955,71399,10
chr1,112247108,112251770,4662,5
chr1,112251886,112255052,3166,9
chr1,113162505,113189831,27326,5
chr1,113192091,113196219,4128,5
chr1,113196283,113197086,803,9
chr1,113202401,113209695,7294,8
chr1,113209767,113212164,2397,6
chr1,113212227,113212613,386,10
chr1,113245741,113246265,524,5
chr1,113635902,113636051,149,5
chr1,114497392,114498184,792,5
chr1,114940482,114940561,79,5
chr1,115112693,115113320,627,5
chr1,115251275,115252189,914,6
chr1,115260837,115261233,396,11
chr1,115262363,115263159,796,10
chr1,115263338,115266503,3165,14
chr1,115266623,115267841,1218,14
chr1,115269007,115269603,596,15
chr1,115269711,115272878,3167,15
chr1,115273269,115275224,1955,8
chr1,115275437,115276352,915,29
chr1,115276478,115276609,131,15
chr1,115276738,115277062,324,15
chr1,115277144,115279378,2234,16
chr1,115279476,115280583,1107,9
chr1,115280693,115282312,1619,8
chr1,115282511,115292441,9930,6
chr1,115292828,115300545,7717,5
chr1,116916145,116926635,10490,5
chr1,116926746,116927404,658,6
chr1,116939356,116940509,1153,8
chr1,116940660,116941242,582,5
chr1,116943882,116944175,293,7
chr1,116944277,116946505,2228,7
chr1,117945063,117948170,3107,16
chr1,118495285,118495568,283,7
chr1,120269528,120269626,98,5
chr1,142819336,142823388,4052,5
chr1,144909960,144911881,1921,5
chr1,144922279,144922518,239,6
chr1,144922638,144923689,1051,6
chr1,144923821,144946624,22803,9
chr1,144946742,144952200,5458,5
chr1,145439052,145439592,540,16
chr1,145439665,145439777,112,18
chr1,145439925,145440037,112,15
chr1,145440140,145440268,128,7
chr1,145440788,145440901,113,11
chr1,145441053,145441182,129,13
chr1,145456723,145456990,267,5
chr1,145507733,145508015,282,13
chr1,145508611,145508915,304,6
chr1,145509052,145509165,113,7
chr1,146743942,146747016,3074,8
chr1,146751864,146756023,4159,8
chr1,146757164,146757974,810,15
chr1,146765406,146766090,684,8
chr1,149898810,149899057,247,6
chr1,150193063,150195511,2448,16
chr1,150195566,150198939,3373,15
chr1,150199127,150201404,2277,5
chr1,150201570,150202905,1335,5
chr1,150204264,150208080,3816,27
chr1,150266318,150266754,436,5
chr1,150266869,150280481,13612,5
chr1,150526598,150526840,242,5
chr1,150531942,150532236,294,7
chr1,150600068,150601889,1821,10
chr1,150789366,150789557,191,5
chr1,150938764,150938951,187,5
chr1,150940353,150940558,205,6
chr1,150941567,150947094,5527,11
chr1,151027602,151028152,550,7
chr1,151227284,151234636,7352,5
chr1,151239063,151239648,585,6
chr1,151372203,151372456,253,8
chr1,151373321,151373714,393,5
chr1,153636950,153637695,745,6
chr1,153637812,153638138,326,5
chr1,153640133,153640475,342,7
